date,courier_partners_online,temperature,relative_humidity,precipitation
2023-02-25,60,8.79,0.87,5.22
2023-02-26,64,5.0,0.94,0.88
2023-02-27,66,10.68,0.77,0.81
2023-02-28,75,10.54,0.86,0.73
2023-03-01,79,18.17,0.58,0.0
2023-03-02,80,,0.53,0.0
2023-03-03,69,19.99,0.55,0.0
2023-03-04,69,15.9,0.61,0.72
2023-03-05,79,29.82,0.57,0.0
2023-03-06,72,,0.56,0.0
2023-03-07,84,27.97,0.48,0.0
2023-03-08,77,19.63,0.55,0.0
2023-03-09,72,19.08,0.56,0.0
2023-03-10,68,21.71,0.53,0.0
2023-03-11,69,21.85,0.53,0.0
2023-03-12,81,23.28,0.51,0.0
2023-03-13,74,20.19,0.55,0.0
2023-03-14,82,16.76,0.6,0.0
2023-03-15,80,17.31,0.59,0.0
2023-03-16,72,19.86,0.55,0.0
2023-03-17,68,23.25,0.51,0.0
2023-03-18,71,17.77,0.58,0.0
2023-03-19,74,18.71,0.57,0.0
2023-03-20,73,19.54,0.56,0.0
2023-03-21,72,15.19,0.63,0.4
2023-03-22,76,,0.52,0.0
2023-03-23,70,23.05,0.52,0.0
2023-03-24,69,16.67,0.7,1.41
2023-03-25,68,21.67,0.53,0.0
2023-03-26,76,,0.54,0.0
2023-03-27,72,19.49,0.64,0.77
2023-03-28,72,16.35,0.61,1.12
2023-03-29,78,19.04,0.56,0.0
2023-03-30,78,21.09,0.54,0.0
2023-03-31,70,21.1,0.54,0.0
2023-04-01,77,27.59,0.68,1.11
2023-04-02,72,21.99,0.62,4.59
2023-04-03,83,23.01,0.52,0.0
2023-04-04,84,23.48,0.51,0.0
2023-04-05,83,23.5,0.51,0.0
2023-04-06,73,21.57,0.53,0.0
2023-04-07,71,25.41,0.5,0.0
2023-04-08,72,25.77,0.49,0.0
2023-04-09,79,24.98,0.5,
2023-04-10,79,23.48,0.51,0.0
2023-04-11,80,19.58,0.56,0.0
2023-04-12,83,26.21,0.49,0.0
2023-04-13,71,24.62,0.5,0.0
2023-04-14,73,26.0,0.49,0.0
2023-04-15,66,22.72,0.61,1.67
2023-04-16,80,22.23,0.6,0.54
2023-04-17,76,25.28,0.62,0.38
2023-04-18,82,20.64,0.69,0.48
2023-04-19,83,23.19,0.52,0.0
2023-04-20,78,23.9,0.51,0.0
2023-04-21,67,22.13,0.65,0.42
2023-04-22,63,22.28,0.61,6.88
2023-04-23,79,24.56,0.63,0.4
2023-04-24,79,22.93,0.52,0.0
2023-04-25,73,16.9,0.73,0.53
2023-04-26,86,28.06,0.48,0.0
2023-04-27,76,28.15,0.48,0.0
2023-04-28,74,20.1,0.55,0.0
2023-04-29,73,22.5,0.52,0.0
2023-04-30,77,24.74,0.5,0.0
2023-05-01,79,21.84,0.53,0.0
2023-05-02,80,21.04,0.54,0.0
2023-05-03,73,17.37,0.59,0.0
2023-05-04,72,16.87,0.6,0.0
2023-05-05,66,18.8,0.57,0.0
2023-05-06,70,19.43,0.56,0.0
2023-05-07,75,17.28,0.59,0.0
2023-05-08,68,12.55,0.7,0.62
2023-05-09,75,14.14,0.65,0.43
2023-05-10,81,20.28,0.55,0.0
2023-05-11,70,15.2,0.63,0.85
2023-05-12,70,15.96,0.61,0.71
2023-05-13,70,20.33,0.55,0.0
2023-05-14,73,16.22,0.61,2.86
2023-05-15,75,19.64,0.55,0.0
2023-05-16,76,19.99,0.55,0.0
2023-05-17,79,20.38,0.55,0.0
2023-05-18,70,13.57,0.79,0.62
2023-05-19,72,24.4,0.5,0.0
2023-05-20,74,17.79,0.58,0.0
2023-05-21,71,17.66,0.58,0.0
2023-05-22,72,18.07,0.58,0.0
2023-05-23,78,21.86,0.53,0.0
2023-05-24,77,19.25,0.56,0.0
2023-05-25,77,23.19,0.52,0.0
2023-05-26,68,19.85,0.55,0.0
2023-05-27,70,19.22,0.56,0.0
2023-05-28,76,27.26,0.64,0.41
2023-05-29,73,,0.62,0.8
2023-05-30,81,18.35,0.57,0.0
2023-05-31,76,15.56,0.62,1.16
